percentile,latency_us
97.1,83854
97.2,84658
97.3,85455
97.4,86395
97.5,87241
97.6,88244
97.7,89496
97.8,90580
97.9,91870
98.0,93398
98.1,94650
98.2,95911
98.3,97274
98.4,98444
98.5,99839
98.6,101189
98.7,102981
98.8,106074
98.9,108571
99.0,111604
99.1,115303
99.2,119444
99.3,124195
99.4,128364
99.5,138609
99.6,147234
99.7,161114
99.8,183997
99.9,203089
99.900,203089
99.990,246202
99.999,248251
100.000,0
